,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
352,1,128,32,0.15,0.124,0.13,0.0656
353,1,128,34,0.1429,0.122,0.13,0.0597
354,1,128,36,0.15,0.124,0.13,0.0549
355,1,128,38,0.1429,0.122,0.13,0.0541
356,1,128,40,0.1429,0.122,0.13,
357,1,256,0,1.0,0.786,0.811,0.4596
358,1,256,2,0.9857,0.452,0.424,0.263
359,1,256,4,0.8643,0.25,0.265,0.2427
360,1,256,6,0.6571,0.216,0.221,0.2129
361,1,256,8,0.4714,0.186,0.187,0.1785
362,1,256,10,0.4,0.178,0.178,0.1523
363,1,256,12,0.3429,0.174,0.174,0.1365
364,1,256,14,0.3143,0.174,0.161,0.1261
365,1,256,16,0.2571,0.17,0.158,0.1112
366,1,256,18,0.2071,0.166,0.154,0.1006
367,1,256,20,0.2,0.166,0.153,0.0937
368,1,256,22,0.2,0.166,0.153,0.09
369,1,256,24,0.1929,0.164,0.153,0.0761
370,1,256,26,0.1929,0.164,0.153,0.0733
371,1,256,28,0.1929,0.164,0.153,0.0678
372,1,256,30,0.1929,0.164,0.153,0.0655
373,1,256,32,0.1429,0.122,0.13,
374,1,256,34,0.1429,0.122,0.13,
375,1,256,36,0.1429,0.122,0.13,
376,1,256,38,0.1429,0.122,0.13,
377,1,256,40,0.1429,0.122,0.13,
378,2,1,0,0.2857,0.218,0.206,0.1459
379,2,1,2,0.1429,0.072,0.091,0.1862
380,2,1,4,0.1429,0.072,0.091,0.1333
381,2,1,6,0.1429,0.072,0.091,0.1121
382,2,1,8,0.1429,0.072,0.091,0.098
383,2,1,10,0.1429,0.072,0.091,0.0889
384,2,1,12,0.1429,0.072,0.091,0.0822
385,2,1,14,0.1429,0.072,0.091,0.0771
386,2,1,16,0.1429,0.072,0.091,0.0733
387,2,1,18,0.1429,0.072,0.091,0.07
388,2,1,20,0.1429,0.072,0.091,0.0672
389,2,1,22,0.1429,0.072,0.091,0.0646
390,2,1,24,0.1429,0.072,0.091,0.0623
391,2,1,26,0.1429,0.072,0.091,0.0601
392,2,1,28,0.1429,0.072,0.091,0.0583
393,2,1,30,0.1429,0.072,0.091,0.0566
394,2,1,32,0.1429,0.072,0.091,0.0551
395,2,1,34,0.1429,0.072,0.091,0.0537
396,2,1,36,0.1429,0.072,0.091,0.0524
397,2,1,38,0.1429,0.072,0.091,0.0513
398,2,1,40,0.1429,0.072,0.091,0.0503
399,2,2,0,0.7214,0.564,0.528,0.2744
