,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
147,0.0,7,1.0,0.79,0.827,tensor(0.1180),1.4696876,5.1601197e-05,0.8753918
148,0.1,7,1.0,0.806,0.83,tensor(0.1161),1.7213284,7.1542556e-05,0.95324385
149,0.2,7,1.0,0.808,0.831,tensor(0.1150),2.0255682,8.844359e-05,1.0397295
150,0.3,7,0.9929,0.808,0.837,tensor(0.1138),2.3523011,0.00010585897,1.1240764
151,0.4,7,0.9929,0.812,0.842,tensor(0.1130),2.6971164,0.00012417491,1.2060528
152,0.5,7,0.9929,0.792,0.836,tensor(0.1130),3.04043,0.0001453592,1.2826403
153,0.6,7,0.9857,0.76,0.785,tensor(0.1154),3.4092286,0.00016572233,1.3644075
154,0.7,7,0.9857,0.724,0.751,tensor(0.1174),3.726208,0.00017970202,1.436056
155,0.8,7,0.9714,0.684,0.701,tensor(0.1270),4.0269637,0.00017978383,1.5102092
156,0.9,7,0.9714,0.656,0.67,tensor(0.1299),4.2852983,0.00014376409,1.5787847
157,1.0,7,0.9429,0.638,0.64,tensor(0.1449),4.432916,0.00012636588,1.615257
158,1.1,7,0.9214,0.596,0.588,tensor(0.1569),4.769686,0.00012003989,1.693566
159,1.2,7,0.9286,0.606,0.6,tensor(0.1549),4.8534484,0.00011769188,1.7062443
160,1.3,7,0.9143,0.6,0.603,tensor(0.1582),5.0981064,0.00013126286,1.7456529
161,1.4,7,0.9071,0.58,0.574,tensor(0.1638),5.5747046,0.00016243031,1.8338797
162,1.5,7,0.8143,0.344,0.326,tensor(0.1909),5.7641597,0.00012446145,1.8904148
163,1.6,7,0.7929,0.316,0.311,tensor(0.1929),5.6432505,0.00011137284,1.8645695
164,1.7,7,0.7786,0.308,0.305,tensor(0.1963),5.644837,0.00010099832,1.8624135
165,1.8,7,0.7571,0.284,0.285,tensor(0.2001),5.6980996,9.6261974e-05,1.8689562
166,1.9,7,0.7429,0.276,0.278,tensor(0.2012),5.734347,9.7980796e-05,1.8724439
167,2.0,7,0.7214,0.268,0.267,tensor(0.2007),5.779794,9.6981756e-05,1.8773202
168,0.0,8,0.9929,0.782,0.81,tensor(0.1195),1.3546181,6.57614e-05,0.8134243
169,0.1,8,0.9929,0.794,0.819,tensor(0.1174),1.5581291,7.01343e-05,0.87684584
170,0.2,8,1.0,0.798,0.834,tensor(0.1169),1.796092,7.638624e-05,0.9451313
171,0.3,8,1.0,0.802,0.836,tensor(0.1149),2.0508316,8.4137646e-05,1.0122684
172,0.4,8,1.0,0.806,0.841,tensor(0.1132),2.3098207,9.3051196e-05,1.0753154
173,0.5,8,1.0,0.802,0.843,tensor(0.1121),2.5693002,0.00010294345,1.1342779
174,0.6,8,0.9929,0.794,0.832,tensor(0.1123),2.8127942,0.00011226151,1.1880493
175,0.7,8,0.9857,0.746,0.776,tensor(0.1161),3.1174464,0.000116374445,1.2620882
