,seed,hidden_channels,mu,train_acc,val_acc,test_acc
361,4,1,0.9,0.2071,0.122,0.143
362,4,1,1.0,0.2,0.156,0.153
363,4,2,0.0,0.7429,0.606,0.581
364,4,2,0.1,0.7643,0.594,0.587
365,4,2,0.2,0.7429,0.586,0.574
366,4,2,0.3,0.7429,0.59,0.574
367,4,2,0.4,0.7357,0.586,0.563
368,4,2,0.5,0.7071,0.542,0.506
369,4,2,0.6,0.65,0.442,0.399
370,4,2,0.7,0.3857,0.182,0.171
371,4,2,0.8,0.2929,0.128,0.124
372,4,2,0.9,0.2571,0.118,0.117
373,4,2,1.0,0.2214,0.116,0.112
374,4,4,0.0,0.8714,0.566,0.556
375,4,4,0.1,0.8786,0.57,0.556
376,4,4,0.2,0.8571,0.556,0.548
377,4,4,0.3,0.85,0.558,0.549
378,4,4,0.4,0.8429,0.562,0.548
379,4,4,0.5,0.8429,0.552,0.543
380,4,4,0.6,0.8286,0.508,0.503
381,4,4,0.7,0.6643,0.35,0.344
382,4,4,0.8,0.6286,0.326,0.313
383,4,4,0.9,0.6143,0.45,0.451
384,4,4,1.0,0.5571,0.422,0.427
385,4,8,0.0,0.9929,0.772,0.803
386,4,8,0.1,0.9857,0.792,0.805
387,4,8,0.2,0.9857,0.794,0.813
388,4,8,0.3,0.9786,0.784,0.818
389,4,8,0.4,0.9786,0.786,0.821
390,4,8,0.5,0.9786,0.778,0.797
391,4,8,0.6,0.9643,0.718,0.724
392,4,8,0.7,0.9571,0.726,0.737
393,4,8,0.8,0.8143,0.416,0.408
394,4,8,0.9,0.7929,0.358,0.36
395,4,8,1.0,0.7357,0.258,0.272
396,4,16,0.0,1.0,0.79,0.81
397,4,16,0.1,1.0,0.798,0.818
398,4,16,0.2,1.0,0.8,0.821
399,4,16,0.3,0.9929,0.804,0.816
400,4,16,0.4,0.9929,0.8,0.823
401,4,16,0.5,0.9857,0.786,0.816
402,4,16,0.6,0.9857,0.756,0.781
403,4,16,0.7,0.9786,0.718,0.745
404,4,16,0.8,0.9786,0.738,0.766
405,4,16,0.9,0.9786,0.628,0.671
406,4,16,1.0,0.9071,0.426,0.433
407,4,32,0.0,1.0,0.796,0.817
408,4,32,0.1,1.0,0.802,0.825
409,4,32,0.2,1.0,0.8,0.825
410,4,32,0.3,1.0,0.806,0.829
411,4,32,0.4,1.0,0.808,0.832
412,4,32,0.5,1.0,0.808,0.828
413,4,32,0.6,1.0,0.8,0.826
414,4,32,0.7,1.0,0.802,0.825
415,4,32,0.8,1.0,0.796,0.816
416,4,32,0.9,0.9929,0.574,0.606
417,4,32,1.0,0.9857,0.744,0.746
418,4,64,0.0,1.0,0.79,0.811
419,4,64,0.1,1.0,0.794,0.818
420,4,64,0.2,1.0,0.808,0.814
421,4,64,0.3,1.0,0.812,0.814
422,4,64,0.4,1.0,0.822,0.823
423,4,64,0.5,1.0,0.816,0.831
424,4,64,0.6,1.0,0.812,0.835
425,4,64,0.7,0.9929,0.808,0.836
426,4,64,0.8,0.9929,0.808,0.84
427,4,64,0.9,0.9929,0.808,0.839
428,4,64,1.0,0.9786,0.778,0.795
429,4,128,0.0,1.0,0.782,0.806
430,4,128,0.1,1.0,0.798,0.821
431,4,128,0.2,1.0,0.818,0.824
432,4,128,0.3,1.0,0.812,0.827
433,4,128,0.4,1.0,0.814,0.833
434,4,128,0.5,1.0,0.804,0.836
435,4,128,0.6,1.0,0.8,0.837
436,4,128,0.7,1.0,0.802,0.839
437,4,128,0.8,1.0,0.798,0.837
438,4,128,0.9,1.0,0.798,0.835
439,4,128,1.0,0.9929,0.806,0.834
