,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4
284,1,16,22,0.1429,0.316,0.319,tensor(0.2839),8.111764,0.0003871006,1.9198691,"[0.003521278, 0.0010170438, 0.00076392945]"
285,1,16,24,0.1429,0.316,0.319,tensor(0.2449),8.440862,0.0003912987,1.9584013,"[0.00357128, 0.0010488672, 0.0007794123]"
286,1,16,26,0.1429,0.316,0.319,tensor(0.2137),8.757486,0.00039450478,1.9948146,"[0.003614239, 0.0010777398, 0.00079190783]"
287,1,16,28,0.1429,0.316,0.319,tensor(0.1882),9.0628195,0.00039694976,2.0292861,"[0.0036515165, 0.0011034643, 0.0008019785]"
288,1,16,30,0.1429,0.316,0.319,tensor(0.1660),9.35742,0.0003988806,2.0620086,"[0.0036847617, 0.0011264633, 0.0008103632]"
289,1,16,32,0.1429,0.316,0.319,tensor(0.1482),9.638124,0.0004004226,2.0928729,"[0.0037151643, 0.001146929, 0.0008173239]"
290,1,16,34,0.1429,0.316,0.319,tensor(0.1328),9.9049015,0.00040163126,2.121982,"[0.0037418301, 0.0011651482, 0.00082299265]"
291,1,16,36,0.1429,0.316,0.319,tensor(0.1193),10.165419,0.00040262323,2.15007,"[0.0037677656, 0.0011815969, 0.0008277685]"
292,1,16,38,0.1429,0.316,0.319,tensor(0.1078),10.414337,0.0004034683,2.1764832,"[0.0037913974, 0.001196647, 0.0008318875]"
293,1,16,40,0.1429,0.316,0.319,tensor(0.0980),10.656503,0.00040418474,2.201882,"[0.0038139105, 0.0012103237, 0.0008354987]"
294,1,32,0,1.0,0.788,0.805,tensor(2.0791),1.6657327,0.00012681072,0.91323376,"[0.0013951854, 0.0012093881, 0.00022369556]"
295,1,32,2,0.8143,0.194,0.226,tensor(3.9292),7.0734873,0.00028175654,2.0307589,"[0.0036891096, 0.0019332174, 0.00057238905]"
296,1,32,4,0.5071,0.104,0.131,tensor(3.7608),6.949925,0.0002385341,1.9600898,"[0.0032463043, 0.0011319034, 0.00043639966]"
297,1,32,6,0.3286,0.082,0.109,tensor(3.0387),7.314499,0.00021752527,1.9598285,"[0.0036378508, 0.001010999, 0.00045653453]"
298,1,32,8,0.2714,0.082,0.101,tensor(2.4055),7.4763346,0.0002694301,1.9424858,"[0.0043630456, 0.0009655783, 0.0005778339]"
299,1,32,10,0.1929,0.072,0.097,tensor(1.8180),7.2851043,0.00029908467,1.8671979,"[0.0042052986, 0.0008884869, 0.0006375812]"
300,1,32,12,0.1929,0.072,0.097,tensor(1.2756),7.6490254,0.00033857793,1.8933592,"[0.0043275338, 0.0009211455, 0.00072702765]"
301,1,32,14,0.1929,0.072,0.097,tensor(0.9981),8.01386,0.00036350405,1.9264727,"[0.004310425, 0.000961114, 0.0007803034]"
302,1,32,16,0.1786,0.072,0.094,tensor(0.8591),8.304814,0.00037948953,1.9536788,"[0.0038804074, 0.0010096848, 0.0008105975]"
303,1,32,18,0.1786,0.072,0.094,tensor(0.6150),8.620118,0.00039536666,1.9881455,"[0.0038774183, 0.0010533715, 0.0008524413]"
304,1,32,20,0.1786,0.072,0.094,tensor(0.5258),8.763528,0.00039486756,1.9986409,"[0.0038534836, 0.0010558044, 0.00085031334]"
305,1,32,22,0.1429,0.072,0.091,tensor(0.6759),8.795204,0.00039349095,1.9979581,"[0.003761373, 0.0010820981, 0.0008307594]"
306,1,32,24,0.1429,0.072,0.091,tensor(0.3880),8.997794,0.00039618797,2.0139537,"[0.0037555597, 0.001108307, 0.0008370538]"
307,1,32,26,0.1429,0.072,0.091,tensor(0.2640),9.25142,0.00039785163,2.038543,"[0.0037667912, 0.0011293521, 0.00084176473]"
308,1,32,28,0.1429,0.072,0.091,tensor(0.2252),9.593986,0.00039913977,2.0736933,"[0.0038213443, 0.0011519354, 0.00084802456]"
309,1,32,30,0.1429,0.072,0.091,tensor(0.1898),9.82052,0.0004019619,2.1032686,"[0.0038377296, 0.0011828184, 0.0008583075]"
310,1,32,32,0.1429,0.072,0.091,tensor(0.1691),10.057952,0.0004037306,2.1271758,"[0.0038745138, 0.0012094199, 0.0008653473]"
311,1,32,34,0.1429,0.072,0.091,tensor(0.1525),10.283542,0.00040520454,2.1497698,"[0.003914173, 0.0012348933, 0.0008713113]"
312,1,32,36,0.1429,0.072,0.091,tensor(0.1381),10.499925,0.00040625763,2.171294,"[0.003946075, 0.0012556409, 0.0008756489]"
313,1,32,38,0.1429,0.072,0.091,tensor(0.1238),10.684937,0.00040653456,2.1916683,"[0.003949676, 0.0012607935, 0.00087623775]"
314,1,32,40,0.1429,0.072,0.091,tensor(0.1123),10.886061,0.0004071975,2.2122006,"[0.003970708, 0.0012740843, 0.0008787722]"
315,1,64,0,1.0,0.802,0.807,tensor(1.7879),1.9264805,0.00011886171,0.98799187,"[0.0017813031, 0.0013337943, 0.00026252682]"
316,1,64,2,0.9214,0.526,0.542,tensor(3.1235),8.236152,0.00036403604,2.205091,"[0.0053047687, 0.0027299393, 0.00091412186]"
317,1,64,4,0.7143,0.378,0.401,tensor(3.9390),8.405006,0.0002200991,2.2246804,"[0.0043947655, 0.0016924983, 0.0006203662]"
318,1,64,6,0.4214,0.124,0.127,tensor(3.7027),8.309922,0.00021896268,2.1714776,"[0.004495561, 0.0012838596, 0.00046415036]"
319,1,64,8,0.3286,0.118,0.117,tensor(2.9308),8.317333,0.00028100258,2.126199,"[0.00492918, 0.0012373443, 0.00043918454]"
320,1,64,10,0.2643,0.118,0.112,tensor(2.4938),8.501155,0.0003261404,2.1138592,"[0.005314164, 0.0012092587, 0.0005844794]"
321,1,64,12,0.2286,0.116,0.111,tensor(2.0500),8.739367,0.000344653,2.10366,"[0.0055513424, 0.0012002372, 0.000698688]"
322,1,64,14,0.2143,0.116,0.11,tensor(1.6327),8.995157,0.00036689825,2.1084745,"[0.005633584, 0.0012192361, 0.0007754266]"
323,1,64,16,0.2071,0.116,0.11,tensor(1.1718),9.184617,0.0003938512,2.1077244,"[0.005780942, 0.00126905, 0.0008544961]"
324,1,64,18,0.2071,0.116,0.11,tensor(0.8790),9.502635,0.00040686288,2.1245832,"[0.005868419, 0.0012963846, 0.00089713983]"
325,1,64,20,0.2,0.116,0.109,tensor(0.7743),9.850987,0.00041246152,2.1544805,"[0.0059038443, 0.0013095479, 0.00091839506]"
326,1,64,22,0.1786,0.116,0.106,tensor(0.6667),9.794898,0.00039973957,2.13588,"[0.005188178, 0.0013047456, 0.00085297186]"
327,1,64,24,0.1786,0.116,0.106,tensor(0.5145),9.963433,0.00040149162,2.1463037,"[0.005076174, 0.0013192414, 0.00085404195]"
328,1,64,26,0.1857,0.116,0.107,tensor(0.4369),10.301211,0.00040522893,2.1794224,"[0.005086303, 0.0013604496, 0.00086914614]"
329,1,64,28,0.1786,0.114,0.105,tensor(0.4465),10.639328,0.00040222472,2.214251,"[0.0045821914, 0.0013322906, 0.0008748444]"
330,1,64,30,0.1429,0.114,0.103,tensor(0.6076),10.929938,0.00039920767,2.2444308,"[0.004459739, 0.0013399252, 0.00085148786]"
331,1,64,32,0.1429,0.114,0.103,tensor(0.3707),10.811476,0.00040423387,2.223531,"[0.004371792, 0.0013401799, 0.0008513204]"
332,1,64,34,0.1429,0.114,0.103,tensor(0.4447),10.953993,0.00040710878,2.2363458,"[0.00444314, 0.0013561352, 0.00086694356]"
333,1,64,36,0.1429,0.114,0.103,tensor(0.2688),11.361842,0.0004072219,2.274629,"[0.00444154, 0.001400269, 0.0008709714]"
334,1,64,38,0.1429,0.114,0.103,tensor(0.2448),11.534806,0.00040823134,2.2896774,"[0.0044480106, 0.0014252107, 0.0008711702]"
335,1,64,40,0.1429,0.114,0.103,tensor(0.2369),11.828816,0.0004121063,2.317141,"[0.0045433515, 0.0014738281, 0.00088892033]"
336,1,128,0,1.0,0.796,0.809,tensor(1.6715),2.091344,0.00012044522,1.0331751,"[0.001967398, 0.0014332694, 0.00030994733]"
337,1,128,2,0.9286,0.314,0.34,tensor(2.9536),9.619294,0.00043922573,2.407124,"[0.00620748, 0.0031534263, 0.0011686143]"
338,1,128,4,0.75,0.182,0.225,tensor(3.9574),9.827446,0.00027692615,2.4244685,"[0.0056042126, 0.0022956557, 0.00082441466]"
339,1,128,6,0.5429,0.148,0.177,tensor(3.6128),9.962358,0.0002883762,2.4033902,"[0.0053628082, 0.0020962558, 0.0007660826]"
340,1,128,8,0.4357,0.136,0.164,tensor(3.2985),10.207991,0.00030909406,2.4056828,"[0.005595128, 0.0020490817, 0.00072521495]"
341,1,128,10,0.4,0.136,0.16,tensor(2.8400),10.395022,0.000326379,2.3946621,"[0.0058926833, 0.0019261026, 0.00079244963]"
342,1,128,12,0.3,0.132,0.141,tensor(2.5977),10.550109,0.00035183414,2.3905232,"[0.006204944, 0.0016561953, 0.0008522059]"
343,1,128,14,0.2643,0.13,0.141,tensor(2.3759),10.967074,0.00037847637,2.4089355,"[0.0064419187, 0.0016075283, 0.00092921045]"
